homeType,RegionName,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
single-family,New York,471358,469393,466814,464048,460310,457036,453583,450693,447633,444166,440520,437048,433133,429236,425475,422061,419439,416661,414182,411583,409888,408833,408406,408231,408156,408227,407824,407587,407069,407314,407421,407497,406804,405507,403884,401913,400475,399073,398077,396480,394787,392512,390506,388611,386988,385523,383893,382497,380991,379546,378295,377309,376752,376512,376326,376190,376078,376044,376425,377038,377619,378429,379248,380678,382204,383753,385400,387033,388847,390841,392772,394445,396294,397847,399507,400542,401571,402495,403316,404157,404875,405505,405863,406548,407194,408220,408852,409762,410461,411435,412263,413059,413902,414783,416161,417239,418006,418646,419516,420819,421874,422882,423987,425312,426762,428306,429829,431475,433431,435102,436942,438238,440501,442804,445594,448108,450373,452332,454030,455715,457797,460180,462668,465123,467111,468861,469963,471114,472613,474510,476368,477723,478377,478736,478967,479286,479687,480064,480641,481039,481362,481472,481698,482269,483093,484035,484956,485911,486824,487870
single-family,Los Angeles,591373,580202,568265,553690,539203,526497,515525,505882,498473,490579,481128,469179,460468,455959,452558,449250,446384,443799,442724,442798,443962,445638,448689,453071,454379,452987,452850,455150,459115,458624,456438,452935,450114,447060,442751,439871,438475,438113,436055,433041,427753,426352,425365,424485,421704,418998,418680,417800,416610,414988,414281,414376,416177,417965,420855,423834,427920,433294,437798,443678,449475,458367,467842,478257,487304,496089,503777,512799,520770,526868,532094,535743,539962,540725,541038,540437,540874,541369,543039,542890,543510,544240,547280,549998,553568,557765,562183,564765,567483,570257,573096,576355,579721,583789,586522,591287,593942,597451,599389,603640,607370,610659,613497,617210,621235,625145,628048,629839,633551,636260,640048,642413,646318,650272,653813,656818,659810,662977,668126,673292,677532,681610,685481,689668,692719,695874,698417,699538,699534,700271,700928,700375,698898,695552,692327,690793,693464,696907,700386,702520,705972,708697,710535,713159,716361,721125,725613,728709,728618,727713
single-family,Chicago,274152,271322,270491,267319,266475,262928,261447,258031,256139,252836,250152,246248,242143,239081,235685,233543,230465,228298,226388,224875,222806,221226,219785,219642,219012,218822,217139,216964,215441,215472,212773,211434,209218,208103,205715,203755,201750,200227,198866,196615,195233,193041,192719,191453,190903,188696,187731,185947,185081,183133,182823,182311,182364,181803,180953,180230,179614,180109,180840,181617,182588,183834,184664,185921,186851,188635,190290,192565,194500,196697,197817,199254,200029,201309,201852,202055,202519,203441,204422,204887,205534,205844,206516,206945,207371,207473,208116,209197,210182,210369,210569,210825,211204,211492,211875,212494,213240,214464,215439,216229,216820,217666,218775,219799,220636,221441,222466,223600,224900,225972,227290,228442,229496,230199,230718,231446,232333,233539,234652,235886,237036,237863,238288,238767,239451,240402,241105,241767,242516,243134,243721,243998,244094,244353,244612,245082,245483,245716,245984,246085,246189,246205,246213,246338,246574,246841,247228,247432,247577,247747
single-family,Washington,443334,437808,431523,424558,416719,409987,403537,397935,392116,386860,381904,377286,372015,367211,362815,359173,356904,355484,354789,353942,352956,352486,352780,353903,355390,355833,356661,357559,359002,359002,358419,357446,357228,356731,355296,353743,352641,352858,352521,352148,350939,350615,350059,349999,349398,348845,348842,348868,348833,348940,349985,351250,352558,353974,355743,357348,358630,360431,362685,365390,368238,370463,372383,374239,376868,379343,381876,384552,387946,390849,393299,394772,396335,397842,399107,400143,400279,400385,400559,400744,400859,400818,400899,401079,400830,401400,402216,402666,402877,403113,403574,403853,403941,404451,404890,405664,406250,405932,405893,406770,408817,410342,411515,412409,413799,414863,416008,417474,419517,422068,423507,424413,424380,425191,426234,428000,429420,431008,432646,433552,434352,434867,436403,438012,440138,441843,443459,444188,444751,445112,445464,446699,448295,450215,451438,452078,452815,453448,454198,455184,456607,458191,459800,461076,462081,462978,464225,466064,467831,469815
single-family,Miami,329442,322623,315061,308337,301363,294940,287944,280616,273067,265287,258089,251466,245418,239822,234162,228985,224099,220382,217366,215036,212910,211610,210559,209419,208864,208478,208628,208131,207536,206135,204876,203338,201953,199913,198117,196564,194895,193436,191950,191021,189972,189060,188096,187365,186819,186730,186802,186879,187060,186931,187209,187507,188417,189684,190995,192678,194427,196242,197633,199153,201194,203976,206986,210454,213652,216517,219482,222559,225873,229022,232943,236657,240087,242392,244658,246048,247917,249657,251884,253562,255041,256746,257723,259060,260152,262175,263774,265667,267185,268909,270207,271815,273779,275576,277732,279598,281786,283584,285342,287203,289096,291440,293779,295803,297361,298890,300737,302664,304437,306033,307357,309014,310609,312136,313562,315638,317704,319931,320961,322331,323253,325110,327233,329020,331007,332435,334248,335604,336787,337442,339091,340676,342251,341843,341845,342042,342421,343092,343749,344653,345322,346312,347011,347527,348243,350031,351396,352685,353734,354828
single-family,Atlanta,198691,197533,195972,194730,193468,192124,190516,188776,187128,185299,182989,179965,177121,174443,172125,169450,166966,164835,163459,162387,161370,160172,159314,158958,158544,157995,157309,157122,157054,156677,155233,153220,150807,148832,146900,145406,143792,142463,140613,138624,136189,134026,132472,131832,131949,132060,131894,131014,130489,129975,130501,131116,132092,133071,134119,134648,134658,134818,135705,137046,138616,140351,142100,143753,145558,147465,149374,151560,153961,156322,158229,160172,161748,163182,164160,165181,166018,166777,167746,168587,169478,170229,171066,171852,172661,173431,174096,174867,175872,177071,178017,178998,179950,180861,181710,182449,183498,184540,185934,187290,188478,189307,190032,190865,191595,192637,193770,195225,196290,197471,198559,199768,201031,202528,204123,205469,207048,208521,210228,211903,213840,215674,217141,218526,220002,221668,223317,224916,226472,228090,229558,230738,231652,232480,233683,234924,236196,236950,237691,238524,239395,240196,240975,241936,243053,244269,245396,246517,247571,248908
single-family,Boston,404047,401377,398910,396473,394126,391647,389365,387187,384920,382358,379847,376960,374462,372054,369507,367432,366125,365726,365614,365402,365697,366250,367182,368359,369618,371133,372476,373376,373628,373231,372678,372121,371018,370061,368999,368486,367805,366200,364080,362190,360623,359949,358747,357770,356542,355207,353766,352304,351464,351118,351389,351567,352246,352784,353990,354958,356019,357646,359903,362382,363789,366329,369325,373208,376049,378173,380167,382689,386285,389688,392359,394053,395719,396475,397449,398779,400449,402291,403599,404837,405272,405309,405840,407795,410658,413589,415440,415693,416238,417209,419643,421968,423794,425968,427417,428571,429913,431659,433741,436160,438813,441126,442060,443275,445495,447700,450279,452383,454132,455399,456895,459393,461748,464420,467619,469727,471945,473706,476864,479218,481441,483803,486991,489771,492320,494359,496145,497728,498267,499441,499832,500864,501271,501886,501089,500566,500285,501552,502719,504137,505877,507331,508580,509792,511577,513219,515484,517529,519547,520591
single-family,San Francisco,750521,743122,735798,727956,718670,709142,698821,688501,679330,669096,656723,646239,632834,624143,616327,610192,604033,601294,599785,596077,591316,591490,596753,603929,610337,613186,613806,614035,615755,615211,611818,610813,608608,606222,600410,594024,589428,584520,581573,577627,571893,565278,562818,559527,559529,556293,554693,552700,549575,549460,549844,553012,558406,567444,575323,584845,592416,602441,612222,622252,636610,649040,664445,677834,693966,706876,719042,727867,737153,746263,756623,768143,776198,784035,786905,791083,791334,792554,794965,799975,805891,811788,819312,826011,830876,837610,848787,859828,870152,879994,891903,904806,917667,927373,932884,938364,948785,958191,961327,963864,966877,971749,970226,969068,967292,972463,977458,984591,988095,993200,999132,1004392,1010408,1017281,1028157,1037176,1049780,1061162,1077696,1093661,1108284,1117553,1128141,1141699,1157498,1169577,1177896,1185733,1189056,1190085,1184896,1174033,1162305,1155475,1149405,1148197,1151101,1154535,1155964,1151876,1153412,1155156,1158126,1164263,1171701,1177280,1181355,1179989,1173864,1168538
single-family,Seattle,415943,413452,410037,405748,401255,396508,392103,386818,381649,376904,372686,367972,363840,359225,354790,348519,343493,339490,337523,336073,334786,334256,334001,333813,331886,330113,328353,328674,329194,328056,325199,321343,318275,314516,310834,307545,305457,304158,301813,298927,293955,290365,286810,284832,282472,280414,278495,276831,275879,273946,273427,273073,275240,277804,280996,283568,286215,289411,293057,296169,298235,301699,305980,311190,315573,318641,322161,325694,329648,332510,334768,337231,340188,342868,344013,344799,345039,347435,348909,350255,350875,352867,355179,358083,361437,363919,366729,368819,372383,374808,377727,381650,386069,390115,393633,396782,399535,403140,407344,411972,415909,419800,424034,427701,431472,434773,439452,444282,449051,453389,457295,462286,467418,473399,479544,484949,489411,494545,498823,503961,509038,515801,522062,527267,531248,533639,534114,534141,535908,537451,537885,536041,534353,531949,529890,527988,529209,531119,534123,536262,538368,540419,543388,547597,551817,555957,560342,565060,568116,571433
condo,New York,431311,430484,428571,427034,424457,422657,420165,418384,416364,414129,411499,407857,403765,399573,396791,392652,389792,386019,383267,379904,377204,375446,374589,373968,374146,374519,373694,373710,373639,375291,376675,377251,377300,376578,375222,373818,372704,372266,373289,373258,372721,371021,369914,369726,369603,369367,369134,369216,368646,367711,365914,365311,364988,365325,365348,365661,366221,367399,368923,370632,372686,374432,376240,377803,379799,382014,384460,386979,389422,391755,394100,396252,398568,401249,404737,408036,410747,412497,414070,415792,417622,419363,420585,422154,424193,426504,428149,429765,431560,433842,435675,437289,438944,440706,443017,444833,445587,445973,446385,447744,448917,450424,451754,453102,453968,454918,455778,457340,459407,461036,462694,463708,465628,467498,470418,473023,475901,478665,481073,482991,484798,487583,490195,492605,494184,495576,496432,497741,499785,501859,503777,504614,504957,504716,505302,505598,506388,506364,506623,506151,505268,504294,503516,503570,503870,504113,503676,503523,503105,503298
